scheduled_departure_time,scheduled_arrival_time,departure_airport,arrival_airport,weather,airline,temperature,visibility,wind_speed,wind_direction,aircraft_model,on_time
2022-01-01 00:00:00,2022-01-01 05:00:00,JFK,LHR,rainy,AA,11,747,19.757695085208475,tailwind,B777,False
2022-01-01 01:00:00,2022-01-01 02:00:00,LAX,HND,sunny,AA,-1,1808,9.039478326906675,tailwind,B757,True
2022-01-01 02:00:00,2022-01-01 06:00:00,LAX,PEK,sunny,AA,2,1227,6.607384275112138,tailwind,B737,True
2022-01-01 03:00:00,2022-01-01 07:00:00,LAX,HND,sunny,DL,0,261,15.753877175532054,tailwind,A320,False
2022-01-01 04:00:00,2022-01-01 08:00:00,JFK,HND,sunny,DL,3,1866,15.787820441569126,tailwind,B777,True
2022-01-01 05:00:00,2022-01-01 07:00:00,DFW,LHR,cloudy,WN,-1,1211,14.76723893982107,tailwind,A380,True
2022-01-01 06:00:00,2022-01-01 10:00:00,ORD,CDG,sunny,AA,-2,518,30.21411165251484,crosswind,A350,False
2022-01-01 07:00:00,2022-01-01 10:00:00,LAX,CDG,cloudy,DL,-1,947,19.654288106990403,tailwind,A330,True
2022-01-01 08:00:00,2022-01-01 13:00:00,DFW,PEK,cloudy,AA,11,1163,27.042841410113795,headwind,A319,False
2022-01-01 09:00:00,2022-01-01 10:00:00,ORD,PEK,cloudy,WN,-1,463,6.747960302994215,headwind,B777,False
2022-01-01 10:00:00,2022-01-01 11:00:00,JFK,HND,rainy,DL,28,220,3.520275318977605,tailwind,B747,False
2022-01-01 11:00:00,2022-01-01 16:00:00,DFW,CDG,cloudy,WN,21,503,15.804303606415628,tailwind,A319,False
2022-01-01 12:00:00,2022-01-01 15:00:00,DFW,LHR,sunny,DL,-6,422,39.49708368477076,crosswind,B747,False
2022-01-01 13:00:00,2022-01-01 15:00:00,JFK,PEK,cloudy,UA,-10,874,27.882030084742446,headwind,A330,False
2022-01-01 14:00:00,2022-01-01 15:00:00,ORD,HND,cloudy,AA,6,693,12.541243623010324,tailwind,A321,True
2022-01-01 15:00:00,2022-01-01 17:00:00,JFK,CDG,sunny,UA,22,461,21.19737228171028,headwind,B767,False
2022-01-01 16:00:00,2022-01-01 18:00:00,JFK,HND,sunny,WN,19,1168,14.41612789346122,tailwind,A330,True
