Flight_ID,Departure_Time,Arrival_Time,Actual_Departure_Time,Actual_Arrival_Time,Departure_Airport,Arrival_Airport,Flight_Distance,Aircraft_Type,Delayed,Wind_Speed,Weather,Loss_Cost
Flight1,2023-04-10 06:57:00,2023-04-10 15:45:00,2023-04-10 06:58:24.000,2023-04-10 15:46:24.000,AIR1,AIR7,2216,A320,True,14,sunny,341.59999999999997
Flight2,2023-09-22 01:40:00,2023-09-22 04:07:00,2023-09-22 01:43:36.000,2023-09-22 04:10:36.000,AIR5,AIR7,2441,A320,True,24,stormy,1166.4
Flight3,2023-08-10 01:08:00,2023-08-10 08:00:00,2023-08-10 01:10:06.000,2023-08-10 08:02:06.000,AIR5,AIR2,413,A320,True,21,sunny,609.0
Flight4,2023-09-29 05:43:00,2023-09-29 08:23:00,2023-09-29 05:47:00.000,2023-09-29 08:27:00.000,AIR3,AIR0,1394,A320,True,40,sunny,1048.0
Flight5,2023-02-24 07:10:00,2023-02-24 08:46:00,2023-02-24 07:13:21.600,2023-02-24 08:49:21.600,AIR4,AIR8,757,Boeing 777,True,28,rainy,981.12
Flight6,2023-12-29 08:50:00,2023-12-29 10:49:00,2023-12-29 08:50:30.000,2023-12-29 10:49:30.000,AIR6,AIR7,1837,Boeing 777,True,5,sunny,150.0
Flight7,2023-04-03 07:01:00,2023-04-03 14:56:00,2023-04-03 07:02:00.000,2023-04-03 14:57:00.000,AIR8,AIR4,2184,Boeing 737,True,10,sunny,230.0
Flight8,2023-10-08 14:51:00,2023-10-08 21:22:00,2023-10-08 14:56:02.400,2023-10-08 21:27:02.400,AIR5,AIR6,416,A380,True,42,rainy,1159.2
Flight9,2023-04-05 09:24:00,2023-04-05 18:43:00,2023-04-05 09:28:06.000,2023-04-05 18:47:06.000,AIR3,AIR9,154,A380,True,41,sunny,1041.3999999999999
Flight10,2023-05-16 04:10:00,2023-05-16 06:42:00,2023-05-16 04:11:30.000,2023-05-16 06:43:30.000,AIR6,AIR9,1787,A319,True,10,stormy,384.0
Flight11,2023-10-17 09:13:00,2023-10-17 14:15:00,2023-10-17 09:14:26.400,2023-10-17 14:16:26.400,AIR3,AIR2,1730,A320,True,12,rainy,552.96
Flight12,2023-01-24 11:21:00,2023-01-24 16:37:00,2023-01-24 11:23:18.000,2023-01-24 16:39:18.000,AIR7,AIR9,1152,Boeing 737,True,23,sunny,680.8
Flight13,2023-08-29 14:02:00,2023-08-29 19:13:00,2023-08-29 14:06:12.000,2023-08-29 19:17:12.000,AIR0,AIR5,2078,A380,True,35,rainy,1176.0
Flight14,2023-04-16 17:26:00,2023-04-17 00:01:00,2023-04-16 17:29:36.000,2023-04-17 00:04:36.000,AIR5,AIR2,413,Boeing 737,True,36,sunny,1116.0
Flight15,2023-09-27 00:20:00,2023-09-27 01:54:00,2023-09-27 00:20:36.000,2023-09-27 01:54:36.000,AIR0,AIR9,2051,A321,True,4,stormy,228.0
Flight16,2023-08-26 13:03:00,2023-08-26 18:01:00,2023-08-26 13:06:00.000,2023-08-26 18:04:00.000,AIR0,AIR1,653,A340,True,25,rainy,810.0
Flight17,2023-12-25 21:08:00,2023-12-26 03:54:00,2023-12-25 21:14:09.000,2023-12-26 04:00:09.000,AIR7,AIR8,682,A320,True,41,stormy,1414.5
Flight18,2023-10-04 23:34:00,2023-10-05 07:33:00,2023-10-04 23:39:42.000,2023-10-05 07:38:42.000,AIR5,AIR9,1236,Boeing 777,True,38,stormy,2223.0
Flight19,2023-06-27 23:52:00,2023-06-28 08:25:00,2023-06-27 23:54:42.000,2023-06-28 08:27:42.000,AIR1,AIR5,937,A320,True,27,sunny,993.6
Flight20,2023-11-14 14:34:00,2023-11-15 00:04:00,2023-11-14 14:34:14.400,2023-11-15 00:04:14.400,AIR9,AIR0,1917,Boeing 737,True,2,rainy,93.12
Flight21,2023-07-20 22:26:00,2023-07-21 04:52:00,2023-07-20 22:30:42.000,2023-07-21 04:56:42.000,AIR7,AIR8,682,A340,True,47,sunny,1598.0
Flight22,2023-06-07 16:29:00,2023-06-08 01:59:00,2023-06-07 16:35:54.000,2023-06-08 02:05:54.000,AIR1,AIR0,305,A340,True,46,stormy,1890.6000000000001
Flight23,2023-10-07 11:00:00,2023-10-07 17:46:00,2023-10-07 11:05:02.400,2023-10-07 17:51:02.400,AIR5,AIR6,416,A340,True,42,rainy,1804.32
Flight24,2023-05-03 14:46:00,2023-05-03 18:30:00,2023-05-03 14:51:15.000,2023-05-03 18:35:15.000,AIR7,AIR3,1358,A320,True,35,stormy,1239.0
Flight25,2023-04-09 14:47:00,2023-04-09 22:07:00,2023-04-09 14:51:48.000,2023-04-09 22:11:48.000,AIR0,AIR0,492,Boeing 737,True,40,rainy,1353.6
Flight26,2023-04-18 02:15:00,2023-04-18 12:02:00,2023-04-18 02:19:18.000,2023-04-18 12:06:18.000,AIR6,AIR9,1787,A340,True,43,sunny,1126.6
Flight27,2023-09-19 10:30:00,2023-09-19 13:23:00,2023-09-19 10:33:57.600,2023-09-19 13:26:57.600,AIR8,AIR2,897,A340,True,33,rainy,1013.76
Flight28,2023-02-13 09:53:00,2023-02-13 19:20:00,2023-02-13 09:56:36.000,2023-02-13 19:23:36.000,AIR0,AIR5,2078,A319,True,30,rainy,871.2
Flight29,2023-01-18 14:01:00,2023-01-18 20:14:00,2023-01-18 14:02:19.200,2023-01-18 20:15:19.200,AIR5,AIR5,915,A380,True,11,rainy,290.40000000000003
Flight30,2023-11-23 01:18:00,2023-11-23 10:18:00,2023-11-23 01:20:16.800,2023-11-23 10:20:16.800,AIR8,AIR7,373,A340,True,19,rainy,556.32
Flight31,2023-03-02 12:15:00,2023-03-02 13:34:00,2023-03-02 12:17:24.000,2023-03-02 13:36:24.000,AIR1,AIR7,2216,A340,True,16,stormy,691.1999999999999
Flight32,2023-01-17 00:50:00,2023-01-17 05:52:00,2023-01-17 00:50:45.000,2023-01-17 05:52:45.000,AIR8,AIR8,2136,A380,True,5,stormy,274.5
Flight33,2023-08-12 21:09:00,2023-08-13 06:17:00,2023-08-12 21:09:54.000,2023-08-13 06:17:54.000,AIR5,AIR3,223,A380,True,6,stormy,187.20000000000002
Flight34,2023-10-18 23:52:00,2023-10-19 02:30:00,2023-10-18 23:56:30.000,2023-10-19 02:34:30.000,AIR8,AIR4,2184,A320,True,45,sunny,1377.0
Flight35,2023-12-30 01:48:00,2023-12-30 07:38:00,2023-12-30 01:49:48.000,2023-12-30 07:39:48.000,AIR5,AIR5,915,A321,True,12,stormy,374.40000000000003
Flight36,2023-03-19 11:37:00,2023-03-19 20:14:00,2023-03-19 11:44:30.000,2023-03-19 20:21:30.000,AIR4,AIR0,774,A321,True,50,stormy,2400.0
Flight37,2023-04-18 15:34:00,2023-04-18 18:37:00,2023-04-18 15:40:45.000,2023-04-18 18:43:45.000,AIR2,AIR0,469,A340,True,45,stormy,2025.0
Flight38,2023-08-30 21:23:00,2023-08-31 07:06:00,2023-08-30 21:26:00.000,2023-08-31 07:09:00.000,AIR1,AIR8,2067,Boeing 737,True,30,sunny,1140.0
